DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2021-0681-NPL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,NPL,Nepal,Southern Asia,Asia,Kanchanpur District (Sudurpaschim Province),,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,Mahakali River,2021,10,16,2021,10,22,118,10,,,10,,,,,,,86.38165694,"[{""adm2_code"":22357,""adm2_name"":""Mahakali""}]",2021-10-21,2023-09-25
2021-0722-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2021-000172,,IND,India,Southern Asia,Asia,Tamil Nadu,Heavy rains,,No,No,No,,,Km2,,,,2021,11,6,2021,11,8,14,,11000,,11000,,,,,,,86.38165694,"[{""adm1_code"":1508,""adm1_name"":""Tamil Nadu""}]",2021-11-08,2025-07-16
2021-0748-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Chittoor, Kadapa, Anantapur, Nellore districts (Andhra Pradesh)",Heavy rains,Broken Dam/Burst bank,No,No,Yes,,,Km2,,,,2021,11,18,2021,11,19,62,,74500,,74500,,,,,,,86.38165694,"[{""adm2_code"":17548,""adm2_name"":""Anantapur""},{""adm2_code"":17549,""adm2_name"":""Chittoor""},{""adm2_code"":17550,""adm2_name"":""Cuddapah""},{""adm2_code"":17561,""adm2_name"":""Nellore""}]",2021-11-23,2023-09-25
2021-0777-IND,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Jawad',IND,India,Southern Asia,Asia,"Andhra Pradesh, Odisha, south-western West Bengal, Tripura",,,No,No,No,,100,Kph,,,,2021,12,4,2021,12,6,5,400,1650,,2050,,,,,,,86.38165694,"[{""adm1_code"":1485,""adm1_name"":""Andhra Pradesh""},{""adm1_code"":1504,""adm1_name"":""Orissa""},{""adm1_code"":1509,""adm1_name"":""Tripura""},{""adm1_code"":1511,""adm1_name"":""West Bengal""}]",2021-12-06,2023-09-25
2022-0219-IND,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,IND,India,Southern Asia,Asia,Assam State,,Flood|Lightening,No,No,No,,,Kph,,,,2022,4,1,2022,4,19,20,,95000,,95000,,,,,,,93.29460735,"[{""adm1_code"":1487,""adm1_name"":""Assam""}]",2022-04-19,2023-09-25
2022-0293-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Itanagar distrci (Arunchal Pradesh); Dima Hasao, Cachar, Udalguri District (Assam); East Khasi Hills, Ri-Bhoi Districts (Meghalaya); Nagaland; Bihar; Himachal Pradesh; Madhya Pradesh; Gujarat; Maharasthra",Heavy rains,"Lightening|Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,Kopili river,2022,5,17,2022,10,31,2035,1260,1300000,,1301260,,,,,4200000,4501868,93.29460735,,2022-05-16,2023-09-25
2022-0340-BGD,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2022-000217,,BGD,Bangladesh,Southern Asia,Asia,"Shariatpur & Madaripur districts ; Kurigram, Gaibandha, Lalmonirhat, Nilphamari, Bogra, Jamalpur, and Sirajganj (Sylhet division); Zakigonj, Gowainghat, Jaintapur, Companiganj, Kurigram, Gaibandha, Rangpur, Lalmonirhat, Nilphamari, Bogra, Jamalpur, SirajganjDistricts (Sylhet Division); Sunamganj",Heavy rains,,No,No,No,,,Km2,,,,2022,5,17,2022,9,30,141,,7200000,,7200000,,,,,462500,495741,93.29460735,,2022-06-28,2023-09-26
2022-0353-NPL,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,NPL,Nepal,Southern Asia,Asia,,,"Flood|Slide (land, mud, snow, rock)",No,No,No,,,Kph,,,,2022,6,,2022,6,20,21,29,515,,544,,,,,,,93.29460735,,2022-06-29,2023-09-26
2022-0493-NPL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,NPL,Nepal,Southern Asia,Asia,Belaka municipality of Udayapur district; Saptakoshi,Incessant rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,8,2,2022,8,31,132,,5500,,5500,,,,,,,93.29460735,,2022-08-04,2023-09-26
2022-0539-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Himachal Pradesh, Uttarakhand and Jharkhand States",,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,8,,2022,8,22,63,,800000,,800000,,,,,,,93.29460735,"[{""adm1_code"":1493,""adm1_name"":""Himachal Pradesh""},{""adm1_code"":70078,""adm1_name"":""Jharkhand""},{""adm1_code"":70082,""adm1_name"":""Uttarakhand""}]",2022-08-22,2023-09-26
